danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,image_path,error
0.879,0.645,7.0,-5.493,1.0,0.0397,0.0263,0.000303,0.0859,0.762,124.005,audio_features,3OLSNsjLlDxMIBCrGQSnJv,spotify:track:3OLSNsjLlDxMIBCrGQSnJv,https://api.spotify.com/v1/tracks/3OLSNsjLlDxMIBCrGQSnJv,https://api.spotify.com/v1/audio-analysis/3OLSNsjLlDxMIBCrGQSnJv,148071.0,4.0,Album-Cover-GAN/images/3OLSNsjLlDxMIBCrGQSnJv.jpeg,
0.746,0.91,5.0,-8.807,0.0,0.0584,0.00272,0.262,0.364,0.286,128.007,audio_features,22MfEGdH3Noyx9GfyZWpFz,spotify:track:22MfEGdH3Noyx9GfyZWpFz,https://api.spotify.com/v1/tracks/22MfEGdH3Noyx9GfyZWpFz,https://api.spotify.com/v1/audio-analysis/22MfEGdH3Noyx9GfyZWpFz,262500.0,4.0,Album-Cover-GAN/images/22MfEGdH3Noyx9GfyZWpFz.jpeg,
0.853,0.693,1.0,-6.87,1.0,0.275,0.0239,0.0,0.11,0.662,95.967,audio_features,4X5f3vT8MRuXF68pfjNte5,spotify:track:4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/tracks/4X5f3vT8MRuXF68pfjNte5,https://api.spotify.com/v1/audio-analysis/4X5f3vT8MRuXF68pfjNte5,233787.0,4.0,Album-Cover-GAN/images/4X5f3vT8MRuXF68pfjNte5.jpeg,
0.801,0.96,8.0,-5.534,1.0,0.264,0.0284,0.877,0.0985,0.101,126.045,audio_features,7jURkEKDVEm9sHueqUX0ko,spotify:track:7jURkEKDVEm9sHueqUX0ko,https://api.spotify.com/v1/tracks/7jURkEKDVEm9sHueqUX0ko,https://api.spotify.com/v1/audio-analysis/7jURkEKDVEm9sHueqUX0ko,217411.0,4.0,Album-Cover-GAN/images/7jURkEKDVEm9sHueqUX0ko.jpeg,
0.585,0.776,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,audio_features,5xEM5hIgJ1jjgcEBfpkt2F,spotify:track:5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/tracks/5xEM5hIgJ1jjgcEBfpkt2F,https://api.spotify.com/v1/audio-analysis/5xEM5hIgJ1jjgcEBfpkt2F,244507.0,4.0,Album-Cover-GAN/images/5xEM5hIgJ1jjgcEBfpkt2F.jpeg,
0.767,0.596,4.0,-10.173,1.0,0.0326,0.329,0.00729,0.0953,0.893,113.009,audio_features,2ltmosY3NkVRwt0RPOmynA,spotify:track:2ltmosY3NkVRwt0RPOmynA,https://api.spotify.com/v1/tracks/2ltmosY3NkVRwt0RPOmynA,https://api.spotify.com/v1/audio-analysis/2ltmosY3NkVRwt0RPOmynA,203894.0,4.0,Album-Cover-GAN/images/2ltmosY3NkVRwt0RPOmynA.jpeg,
0.629,0.545,10.0,-13.123,0.0,0.0546,0.719,0.00308,0.0604,0.194,108.376,audio_features,1PtQJZVZIdWIYdARpZRDFO,spotify:track:1PtQJZVZIdWIYdARpZRDFO,https://api.spotify.com/v1/tracks/1PtQJZVZIdWIYdARpZRDFO,https://api.spotify.com/v1/audio-analysis/1PtQJZVZIdWIYdARpZRDFO,298933.0,4.0,Album-Cover-GAN/images/1PtQJZVZIdWIYdARpZRDFO.jpeg,
0.678,0.687,11.0,-5.89,0.0,0.0344,0.0427,0.0,0.0694,0.578,129.961,audio_features,5Ika1wiAaVETLx29jvWTTb,spotify:track:5Ika1wiAaVETLx29jvWTTb,https://api.spotify.com/v1/tracks/5Ika1wiAaVETLx29jvWTTb,https://api.spotify.com/v1/audio-analysis/5Ika1wiAaVETLx29jvWTTb,182799.0,3.0,Album-Cover-GAN/images/5Ika1wiAaVETLx29jvWTTb.jpeg,
0.768,0.644,5.0,-6.671,0.0,0.136,0.736,0.000837,0.173,0.53,95.05,audio_features,609E1JCInJncactoMmkDon,spotify:track:609E1JCInJncactoMmkDon,https://api.spotify.com/v1/tracks/609E1JCInJncactoMmkDon,https://api.spotify.com/v1/audio-analysis/609E1JCInJncactoMmkDon,194543.0,4.0,Album-Cover-GAN/images/609E1JCInJncactoMmkDon.jpeg,
0.878,0.882,1.0,-4.143,0.0,0.223,0.00861,2.39e-05,0.201,0.64,125.98,audio_features,1T7fTFxkosqEF8AZzDvm6I,spotify:track:1T7fTFxkosqEF8AZzDvm6I,https://api.spotify.com/v1/tracks/1T7fTFxkosqEF8AZzDvm6I,https://api.spotify.com/v1/audio-analysis/1T7fTFxkosqEF8AZzDvm6I,171429.0,4.0,Album-Cover-GAN/images/1T7fTFxkosqEF8AZzDvm6I.jpeg,
0.838,0.525,10.0,-3.562,1.0,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,audio_features,0QHEIqNKsMoOY5urbzN48u,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256.0,4.0,Album-Cover-GAN/images/0QHEIqNKsMoOY5urbzN48u.jpeg,
0.593,0.849,2.0,-4.38,1.0,0.0417,0.00917,0.0,0.0503,0.67,99.959,audio_features,1P2Y0XRgqDZmOoTzsqd4Ih,spotify:track:1P2Y0XRgqDZmOoTzsqd4Ih,https://api.spotify.com/v1/tracks/1P2Y0XRgqDZmOoTzsqd4Ih,https://api.spotify.com/v1/audio-analysis/1P2Y0XRgqDZmOoTzsqd4Ih,222672.0,4.0,Album-Cover-GAN/images/1P2Y0XRgqDZmOoTzsqd4Ih.jpeg,
0.885,0.537,10.0,-5.131,0.0,0.106,0.0195,0.0,0.265,0.704,147.978,audio_features,69TzD9PfuWekKoak6pAdcV,spotify:track:69TzD9PfuWekKoak6pAdcV,https://api.spotify.com/v1/tracks/69TzD9PfuWekKoak6pAdcV,https://api.spotify.com/v1/audio-analysis/69TzD9PfuWekKoak6pAdcV,184977.0,4.0,Album-Cover-GAN/images/69TzD9PfuWekKoak6pAdcV.jpeg,
0.609,0.343,3.0,-12.629,1.0,0.044,0.771,5.03e-06,0.16,0.345,112.94,audio_features,2B0fu0TfiTc0CpHftjukD2,spotify:track:2B0fu0TfiTc0CpHftjukD2,https://api.spotify.com/v1/tracks/2B0fu0TfiTc0CpHftjukD2,https://api.spotify.com/v1/audio-analysis/2B0fu0TfiTc0CpHftjukD2,186903.0,4.0,Album-Cover-GAN/images/2B0fu0TfiTc0CpHftjukD2.jpeg,
